Variable,Description,Type,Value range,Notes,In Block (self/social),Stage (raw/preprocessed),Required,
reward_top_self,"Gamble top was reward (vs loss) (TRUE = reward was on top, FALSE = reward was on the bottom)",Boolean,"TRUE, FALSE",,Both,raw,Yes,
top_yellow_self,Gamble top option is yellow color (vs blue),Boolean,"TRUE, FALSE","(TRUE = top was yellow, FALSE = bottom was yellow)",Both,raw,Yes,
selfOptDisplayDur,"Gamble top option is gold color (vs blue)(TRUE = top was gold, FALSE = bottom was gold)",,,,Both,raw,Yes,
self_keys,Which option the player chose (left/right),Nominal,"['left'],['right']",,Self,raw,Yes,
self_RT,RT to choose safe/gamble options in each trial,Continuous,<3,,Self,raw,Yes,
self_safe_top_started,,,,,Self,raw,No,
scannerTimer_self_confirm_Start,Scanner time at self confirm,Continuous,,,Self,raw,Yes,
self_responded,"Self choice responded (1 = responded, 0 = missed)",Boolean,"0,1",,Self,raw,Yes,
selfConfirmationDur,Confirmation duration,Continuous,~0.5,Self confirmation/validation screen duration,Self,raw,Yes,
self_confirm_safe_top_5_started,,,,,Self,raw,No,
scannerTimer_jitterself_Start,Scanner time at self fixation start,Continuous,,,Self,raw,Yes,
jitterself,Jitterself (fixation),Continuous,0.5-2.5,from csv,Self,raw,Yes,
selfJitterDur,Fixation duration (self),Continuous,~0.5-5.5,jitterself + 3 -RT,Self,raw,Yes,
jitter_self_jitterself_started,,,,,Self,raw,No,
,,,,,,,,
ch_safe,"Safe character's choice (0 = safe option, 1 = risky option)",Nominal,"0,1",,Social,raw,Yes,
ch_risky,"Risky character's choice (0 = safe option, 1 = risky option)",Nominal,"0,1",,Social,raw,Yes,
trials_2.thisRepN,,,0,,Social,raw,No,
trials_2.thisTrialN,Trial number,,0-41,Trial number in task (social block),Social,raw,No,
trials_2.thisN,Trial number,,0-41,Trial number in task (social block),Social,raw,Yes,could probably combine trials and trials_2 as well?
trials_2.thisIndex,Trial number,,0-41,Trial number in task (social block),Social,raw,No,
scannerTimer_social_infoseek_Start,Scanner timer at social infoseek start,Continuous,,,Social,raw,Yes,
slider_response,"Slider position (for prob. of seeing social info) chosen by participant (default 3.5 if missed); 1 = not at all, 6 = extremely)",Discrete,1-6 in 1 increments,"Slider position chosen by participant (default 3.5 if missed); 1 = not at all, 6 = extremely)",Social,raw,Yes,
socialInfoChoiceDisplayDur,Social choice slider duration,Continuous,~5,Should = 5 seconds,Social,raw,Yes,
social_infoseek_keys,Keypresses during social infoseek,Nominal,"['left', 'right','right'] etc",,Social,raw,Yes,
social_infoseek_RTs,List of slider response RTs,Nominal,[list of numbers],,Social,raw,Yes,
social_infoseek_finalRT,RT to final slider response,Continuous,<5,,Social,raw,Yes,
social_infoseek_safe_top_2_started,,,,,Social,raw,No,
scannerTimer_social_infoseek_confirm_Start,Scanner timer at slider choice confirmation start,Continuous,,,Social,raw,Yes,
social_infoseek_responded,"Social infoseek responded (1 = responded, 0 = missed)",Boolean,"0,1","1 = responded, 0 = missed",Social,raw,Yes,
socialInfoConfirmDur,slider choice confirmation duration,Continuous,~0.5,Should - 0.5 s,Social,raw,Yes,
social_infoseek_confirm_safe_top_6_started,,,,,Social,raw,No,
scannerTimer_jitter_social_1_Start,Scanner timer at social fixation 1 start,Continuous,,,Social,raw,Yes,
jittersocial1,Jitter1 (fixation before seeing social info),Continuous,0.5-2.5,,Social,raw,Yes,
socialJitter1Dur,Jitter1 (fixation before seeing social info) duration,Continuous,,Should = jitter1 but with slippage,Social,raw,Yes,
jitter_social_1_jittersocial1_started,,,,,Social,raw,No,
scannerTimer_social_info_Start,Scanner timer at social seeinfo,Continuous,,,Social,raw,Yes,
seeinfo_prob,Probability of seeing info ,Discrete,"0.10, 0.26, 0.42, 0.58, 0.74, 0.9",From slider choice,Social,raw,Yes,
riskyplayer,Risky character's name,Nominal,Alex or Jamie,,Social,raw,Yes,
seeInfo,"Whether participant actually saw social info (1 = yes, 0 = no)",Nominal,"1,0",,Social,raw,Yes,
socialInfoDisplayDur,Social see info duration,Continuous,~2,Should = 2,Social,raw,Yes,
social_info_safe_top_3_started,,,,,Social,raw,No,
scannerTimer_jitter_social_2_Start,Scanner timer at social fixation 2,Continuous,,,Social,raw,Yes,
socialJitter2Dur,Duration of social fixation 2,Continuous,,,Social,raw,Yes,
jitter_social_2_jittersocial2_started,,,,,Social,raw,No,
jittersocial2,Jitter2 (fixation before choice),Continuous,1~3,,Social,raw,Yes,
scannerTimer_social_choice_Start,Scanner timer at start of social choice,Continuous,,,Social,raw,Yes,
socialOptDisplayDur,Social choice routine duration,Continuous,,Should = social_choice_RT,Social,raw,Yes,
social_choice_keys,Keypress of social choice,Nominal,"['left'],['right'], None",,Social,raw,Yes,
social_choice_RT,RT of social choice,Continuous,<2,,Social,raw,Yes,
social_choice_safe_top_4_started,,,,,Social,raw,No,
scannerTimer_social_choice_confirm_Start,Scanner timer at social choice confirmation start,Continuous,,,Social,raw,Yes,
social_choice_responded,"Social choice responded (1 = responded, 0 = missed)",Boolean,"0,1","1 = responded, 0 = missed",Social,raw,Yes,
socialChoiceConfirmDur,Social choice confirmation duration,Continuous,~0.5,Should = 0.5 s,Social,raw,Yes,
social_choice_confirm_safe_top_7_started,,,,,Social,raw,No,
scannerTimer_jitter_social_3_Start,Scanner timer at social fixation at end of trial start,Continuous,,,Social,raw,Yes,
socialJitter3Dur,Social end fixation duration,Continuous,,Jitter3 +2-RT,Social,raw,Yes,
jittersocial3,Jitter3 (fixation at end of trial),Continuous,1~3,,Social,raw,Yes,
jitter_social_3_jittersocial3_started,,,,,Social,raw,No,
scannerTimer_trial_End,Scanner timer at end of each trial,Continuous,,,Both,raw,Yes,
pOrder,pOrder,Discrete,1-150,,,raw,Yes,
date,Date and time,String,, in YYYY_Month_DD_HHMM format (e.g. 2025_Aug_19_1345),,raw,Yes,
expName,"Name of exported file, excluding pOrder & date (e.g socialRA_social_1_scanner)",String,,,,raw,Yes,
psychopyVersion,Version of psychopy used (e.g. 2021.1.2),String,,,,raw,Yes,
frameRate,Records the monitor's frame rate (in fps),Continuous,~60 with variation,,,raw,Yes,
